Gender,Married,Age,Graduated,Profession,WorkExperience,SpendingScore,FamilySize,Category,Segmentation
0,0,22,0,0,1.0,0,4.0,4.0,4
1,1,67,1,1,1.0,0,1.0,6.0,2
0,1,67,1,2,0.0,1,2.0,6.0,2
0,1,56,0,3,0.0,2,2.0,6.0,3
0,0,32,1,0,1.0,0,3.0,6.0,3
1,0,33,1,0,1.0,0,3.0,6.0,4
1,1,61,1,1,0.0,0,3.0,7.0,4
1,1,55,1,3,1.0,2,4.0,6.0,3
1,0,26,1,1,1.0,0,3.0,6.0,1
0,0,19,0,0,4.0,0,4.0,4.0,4
1,1,58,0,4,0.0,0,1.0,3.0,2
1,0,41,0,0,1.0,0,2.0,1.0,3
1,0,32,0,5,9.0,0,5.0,3.0,4
0,0,31,0,0,1.0,0,6.0,6.0,2
0,1,58,1,6,1.0,2,4.0,6.0,2
1,1,79,1,3,0.0,1,1.0,6.0,3
0,1,49,1,5,12.0,0,1.0,3.0,1
1,0,18,0,0,3.0,0,4.0,6.0,4
0,1,33,1,3,13.0,0,2.0,3.0,1
1,0,36,1,3,5.0,0,2.0,6.0,2
0,1,56,0,3,1.0,2,3.0,6.0,3
0,0,31,0,0,9.0,0,8.0,4.0,1
0,1,49,1,3,1.0,2,3.0,6.0,3
0,0,35,1,3,0.0,0,1.0,6.0,2
1,0,35,0,3,5.0,0,4.0,6.0,3
1,1,45,1,3,0.0,0,3.0,6.0,3
1,1,42,0,4,1.0,0,2.0,4.0,1
0,0,19,0,0,1.0,0,3.0,2.0,4
1,1,83,0,2,1.0,1,2.0,6.0,4
1,0,27,1,0,3.0,0,4.0,1.0,4
0,0,32,0,4,5.0,0,1.0,4.0,4
1,1,28,0,0,1.0,2,5.0,3.0,4
1,1,28,1,3,8.0,0,2.0,6.0,1
1,0,47,1,3,4.0,0,1.0,6.0,2
1,0,22,0,0,0.0,0,2.0,6.0,4
1,0,27,1,3,14.0,0,3.0,6.0,1
0,1,40,0,1,8.0,0,1.0,6.0,1
0,1,41,1,3,0.0,2,4.0,4.0,2
0,0,19,0,0,0.0,0,4.0,6.0,4
1,0,45,1,1,1.0,0,1.0,6.0,1
1,1,61,0,3,1.0,2,2.0,2.0,2
1,1,36,1,3,1.0,2,2.0,6.0,3
0,1,40,1,3,1.0,0,1.0,3.0,1
1,1,57,1,6,0.0,2,2.0,6.0,3
0,1,76,0,7,1.0,0,1.0,4.0,1
0,1,32,1,3,14.0,2,2.0,6.0,2
0,0,25,1,0,9.0,0,4.0,6.0,4
1,1,45,1,3,1.0,2,3.0,3.0,3
0,1,48,1,3,0.0,2,2.0,6.0,3
0,1,55,1,3,9.0,2,2.0,1.0,3
0,1,74,1,2,0.0,1,3.0,6.0,4
0,1,56,1,2,1.0,1,2.0,6.0,1
0,1,59,1,2,7.0,1,2.0,6.0,1
0,0,25,1,6,0.0,0,2.0,6.0,1
0,1,31,1,4,0.0,2,2.0,6.0,1
0,0,27,0,3,8.0,0,4.0,6.0,1
0,1,57,1,3,0.0,2,4.0,6.0,2
0,1,27,1,0,8.0,0,2.0,6.0,4
1,1,51,1,6,8.0,2,2.0,6.0,1
1,1,47,0,3,0.0,2,5.0,6.0,2
1,0,33,0,0,8.0,0,4.0,6.0,4
0,1,56,1,3,0.0,2,4.0,6.0,3
1,0,33,0,5,0.0,0,3.0,6.0,2
1,0,36,1,4,0.0,0,2.0,6.0,4
0,1,51,0,3,4.0,0,3.0,4.0,1
0,1,45,1,1,2.0,2,2.0,6.0,3
0,0,30,0,0,0.0,0,4.0,6.0,3
1,0,26,0,0,6.0,0,3.0,5.0,4
0,1,63,1,3,8.0,0,1.0,6.0,1
0,1,35,0,6,8.0,2,4.0,3.0,2
1,0,19,0,7,1.0,0,3.0,4.0,1
0,0,32,0,0,7.0,0,5.0,6.0,4
0,1,52,1,3,0.0,2,3.0,6.0,3
1,1,36,1,3,5.0,0,2.0,6.0,3
1,0,42,0,6,7.0,0,3.0,4.0,4
0,1,40,0,4,0.0,2,2.0,3.0,4
0,0,39,1,6,0.0,0,3.0,1.0,2
1,1,47,1,3,1.0,2,4.0,3.0,3
1,1,61,1,3,1.0,1,2.0,6.0,3
0,1,32,0,6,1.0,0,2.0,3.0,4
0,1,55,0,3,0.0,0,1.0,6.0,2
1,0,38,1,3,0.0,0,1.0,6.0,4
0,1,63,1,3,0.0,1,2.0,6.0,3
0,1,58,1,4,1.0,2,2.0,6.0,3
0,1,30,0,1,3.0,2,3.0,4.0,4
0,1,60,1,3,0.0,2,4.0,6.0,3
0,1,68,0,8,1.0,1,7.0,6.0,2
0,1,52,0,3,0.0,0,3.0,4.0,1
0,1,38,0,8,0.0,1,5.0,6.0,1
1,1,35,1,0,10.0,0,2.0,6.0,2
0,0,18,0,4,1.0,0,2.0,6.0,4
0,1,30,1,5,3.0,0,2.0,1.0,4
0,0,86,0,2,1.0,0,1.0,6.0,4
0,0,25,0,0,9.0,0,3.0,6.0,4
1,0,39,1,3,0.0,0,1.0,6.0,1
0,0,47,1,3,1.0,0,1.0,6.0,3
0,1,43,1,8,0.0,1,3.0,6.0,4
0,1,36,0,8,8.0,2,4.0,1.0,2
0,1,80,0,2,1.0,0,1.0,6.0,4
0,0,36,1,3,0.0,0,2.0,2.0,3
1,1,37,1,3,1.0,1,2.0,7.0,1
0,1,46,1,8,0.0,1,3.0,6.0,3
0,1,55,0,8,1.0,1,4.0,3.0,2
1,1,47,0,1,9.0,2,4.0,4.0,2
1,0,28,1,0,1.0,0,3.0,3.0,4
0,1,39,0,6,9.0,0,2.0,3.0,4
1,1,27,0,7,1.0,0,2.0,6.0,1
0,1,72,1,3,0.0,2,2.0,6.0,3
1,1,28,1,1,0.0,0,2.0,6.0,1
0,0,35,1,6,8.0,0,5.0,6.0,3
0,1,39,1,8,9.0,1,5.0,2.0,1
1,1,69,1,2,0.0,1,2.0,6.0,3
0,0,18,0,0,6.0,0,4.0,4.0,4
1,1,50,1,1,1.0,1,2.0,4.0,2
0,0,30,0,8,5.0,0,5.0,6.0,1
1,0,39,1,3,3.0,0,4.0,6.0,4
1,0,29,0,7,8.0,0,4.0,6.0,4
1,1,37,1,3,4.0,0,4.0,5.0,2
1,1,39,1,1,0.0,2,2.0,6.0,1
1,1,48,1,3,0.0,2,5.0,7.0,3
1,0,32,1,4,0.0,0,3.0,6.0,3
1,1,43,0,1,0.0,2,5.0,4.0,2
0,0,29,0,7,8.0,0,5.0,6.0,3
1,1,28,0,1,9.0,2,2.0,4.0,1
0,1,80,1,2,1.0,0,1.0,6.0,2
1,0,28,1,0,7.0,0,4.0,6.0,4
0,1,71,1,3,6.0,2,3.0,6.0,3
0,1,67,0,2,0.0,1,9.0,4.0,1
1,0,26,0,1,0.0,0,1.0,2.0,1
1,1,47,1,1,0.0,2,2.0,6.0,3
1,1,43,1,3,2.0,2,2.0,6.0,2
1,0,27,1,0,0.0,0,4.0,6.0,3
1,1,45,1,7,8.0,0,4.0,6.0,4
0,1,76,0,8,1.0,0,1.0,6.0,3
1,1,43,1,3,3.0,2,4.0,6.0,3
1,1,78,1,2,1.0,1,2.0,6.0,2
0,1,35,1,3,3.0,2,3.0,6.0,3
1,0,49,1,3,1.0,0,1.0,6.0,3
1,0,25,1,0,1.0,0,5.0,6.0,4
0,1,37,0,8,0.0,2,5.0,6.0,1
0,1,60,1,4,0.0,2,2.0,6.0,3
1,1,45,1,3,5.0,2,3.0,6.0,3
1,1,49,1,5,9.0,2,3.0,6.0,3
0,0,32,1,3,0.0,0,5.0,6.0,4
1,1,40,1,3,0.0,0,3.0,3.0,2
0,1,59,0,3,2.0,2,2.0,4.0,3
0,1,48,1,3,3.0,0,5.0,6.0,2
0,1,82,1,8,0.0,1,2.0,6.0,3
1,1,70,1,2,0.0,0,2.0,6.0,2
0,0,31,1,3,5.0,0,2.0,6.0,2
1,1,72,1,2,0.0,1,2.0,6.0,3
0,1,50,1,3,3.0,2,4.0,6.0,3
1,0,23,0,1,11.0,0,1.0,3.0,4
1,0,20,0,0,2.0,0,6.0,6.0,4
1,0,22,0,0,4.0,0,3.0,6.0,4
1,0,31,1,1,8.0,0,1.0,6.0,1
1,1,36,1,3,7.0,2,2.0,6.0,3
0,1,40,1,3,4.0,2,4.0,6.0,3
1,0,40,1,3,1.0,0,1.0,6.0,1
1,0,21,0,4,1.0,0,3.0,7.0,1
1,1,41,0,1,4.0,2,2.0,6.0,4
0,1,40,1,3,0.0,0,2.0,6.0,2
0,1,53,1,3,1.0,2,3.0,6.0,2
